subject,color,bp,wp,response,rt,splitg,cnn_nll,n_pieces,cnn_0,cnn_1,cnn_2,cnn_3,cnn_4,cnn_5,cnn_6,cnn_7,cnn_8,cnn_9,cnn_10,cnn_11,cnn_12,cnn_13,cnn_14,cnn_15,cnn_16,cnn_17,cnn_18,cnn_19,cnn_20,cnn_21,cnn_22,cnn_23,cnn_24,cnn_25,cnn_26,cnn_27,cnn_28,cnn_29,cnn_30,cnn_31,cnn_32,cnn_33,cnn_34,cnn_35,prediction
0,0,000000000000000000000000000000000000,000000000000000000000000000000000000,11,7223,5,4.0948357221493445,0,0.03202612446054325,0.006088287202238765,0.006727199330633277,0.011323698859941396,0.02791280300015224,0.011190468318214861,0.007687609234275228,0.006066399953918529,0.031021108899762985,0.0036091054592914977,0.01257971120996716,0.01665848267786747,0.054950127585027375,0.18084212395952357,0.056332061466237385,0.017706405075684304,0.013138849565247447,0.0036991816599902336,0.0036311056816055775,0.012431541478088243,0.016521761127903017,0.05434007025598273,0.18755314278634022,0.051980333409479995,0.017462160953449924,0.012228833433992224,0.0037811743963108916,0.032145936963368725,0.006312274717444071,0.007218353090533353,0.010859594589654964,0.026889681241777368,0.011347206549554458,0.00744604218465589,0.0060613638271686445,0.03222967539417263,22
1,1,000000000000000000000000000000000000,000000000001000000000000000000000000,24,5141,5,4.360918790075591,1,0.013886901356404356,0.01770755326887191,0.015460262906911272,0.017033733808241854,0.030473811423599197,0.012088639951676227,0.006375558007466533,0.0022522769766088638,0.01971720409323979,0.005168201664452972,0.027043769621639152,0.0,0.10901477084739897,0.165730793377621,0.04786692170916262,0.014172038394780265,0.004457274616449482,0.0011894318812666962,0.0036999743689233155,0.0182870152429926,0.03277327643530604,0.08793591542924879,0.13402574486752206,0.07812173843284963,0.01276665238572884,0.006910453613998658,0.0014184424337880686,0.010769098088219105,0.01299409758704123,0.009469865278245844,0.014049583821278562,0.038552761030194616,0.008208883007849842,0.004444559632218057,0.002798940836728229,0.013133853602075458,13
0,0,000000000001000000000000000000000000,000000000000000000000000100000000000,21,3154,5,2.510506439840406,2,0.004381133017888267,0.017277610360622118,0.011333294845649693,0.021362422342727862,0.028912534094251797,0.007151777915576005,0.006241236978546839,0.005856086824399215,0.0034005349910377417,0.005988363542652152,0.04271057036050425,0.0,0.25318820979612805,0.11313915189989925,0.043544607685183666,0.025377779239281938,0.005528013699406685,0.00107058550474759,0.0007606385634011621,0.016989459420784593,0.028375192770813056,0.08122709218691362,0.1097260966113034,0.04715224714633146,0.0,0.00540880810800292,0.0013897733220124304,0.011321731184170179,0.003666291070495843,0.010670840515881632,0.015641637105554856,0.03454422707416797,0.00912584548154023,0.012635162935751664,0.01003024088855269,0.004870802515819588,12
1,1,000000000000000000000000100000000000,000000000001000000000100000000000000,31,5715,4,1.0379520952631414,3,0.0013272646264499966,0.07152051462973412,0.0032799394543299534,0.004755214181290688,0.027639805594471035,0.02303825066884262,0.004027247516152239,0.000592114243381968,0.002715546290116669,0.0003287520176265981,0.0027494267528459125,0.0,0.03191296148353098,0.08117075394373967,0.05520936263959417,0.028292388463203776,0.007354964761491139,0.0005863343410550231,0.0006913184628813966,0.004503264850576381,0.02490575773346994,0.0,0.11182477522859928,0.09425210960556997,0.0,0.0237922668533314,0.0014093272356016605,0.0012585805166905378,0.003875495156645835,0.006229042939151752,0.005412587381140725,0.35417926516167864,0.009013445121196591,0.003929918566636932,0.006119054285546059,0.002102949293426401,31
0,0,000000000001000000000100000000000000,000000000000000000000000100000010000,14,6837,3,3.300313901395271,4,0.003355878099354955,0.012047436351426842,0.009015230659375397,0.057679471520235455,0.021253369014148916,0.015005087585274706,0.0029300797801708424,0.0026160816234892946,0.001996454534544014,0.0023939603824350846,0.02445194126306328,0.0,0.21078217211066122,0.13216180562294802,0.036871591540465216,0.027976251622961336,0.002098076838956383,0.0012225668649090136,0.0017525498611051854,0.02652196240010177,0.08256616969096714,0.0,0.1389270064494706,0.07517244003807605,0.0,0.003983230960235023,0.0008236279554704765,0.004398861451015386,0.004743202975008505,0.02803783923212775,0.034699341052447236,0.0,0.022201435454607326,0.005295061695556112,0.005374778751414945,0.001645036617976497,12
1,1,000000000000000000000000100000010000,000000000001001000000100000000000000,33,8987,3,4.029712840625153,5,0.0006092032414614512,0.013211798305336371,0.007180195867215286,0.009131898240677212,0.02607219309562102,0.011073211027504337,0.016500583743021272,0.0009048140266200528,0.0027226499550361653,0.0006137582746863518,0.005721166607160733,0.0,0.07549423853608739,0.24267034833734497,0.0,0.09104324073198575,0.009541019914167963,0.0010113912806205658,0.0007393634603283353,0.0026773688273092375,0.0420183483195423,0.0,0.03408162116597956,0.17781029203086055,0.0,0.0107871138634697,0.001189891473230488,0.00406658576539322,0.002087514643494968,0.030299642037193535,0.040640863622611906,0.0,0.11516386998924388,0.017779434752047543,0.0020308656046900643,0.00512551326005778,13
0,0,000000000001001000000100000000000000,000000000000000000000000100000010100,13,2020,4,1.4984540268327717,6,0.000338947724091697,0.00137767992086405,0.0028975507452968425,0.025417805298015527,0.00926308972302574,0.006167254964452956,0.029797394057268636,0.002064538314207304,0.0002602849430423568,0.00028174395898365707,0.009636451844974801,0.0,0.2381236778203641,0.2234753801705066,0.0,0.11869037330148602,0.004477792278652635,0.0002080345930411879,0.0003914940334003549,0.00823048153325845,0.0353900978490902,0.0,0.10980175159167745,0.06054817351450418,0.0,0.0033636663833412276,0.0001648949575457795,0.0007930082982453995,0.0018582700384343544,0.009854962182877293,0.04655817000764077,0.0,0.044181816775532005,0.0,0.00627236741594279,0.00011284576023539605,12
1,1,000000000000000000000000100000010100,000000000001011000000100000000000000,12,4340,2,0.5953871878264299,7,0.00035044787366927726,0.0009297380321205516,0.0013479824322737467,0.0015354711821005357,0.003461594236081552,0.017271768293855308,0.004955633667176909,0.0001857810849068099,0.00029595556726228894,7.757473125657568e-05,0.0023096758765476393,0.0,0.5513490488950643,0.0,0.0,0.31921080397669815,0.0014347813056863397,0.0004830232256999149,6.739267309345873e-05,0.0003615989087805083,0.003900950306506915,0.0,0.003505088376180504,0.013200787137340679,0.0,0.0044861008498655545,0.00016073598868966715,0.00034160899650848036,0.0004909934026525628,0.029112330026338923,0.015737996667545065,0.0,0.021133148808606,0.0,0.001915662791065332,0.0003863246864265922,12
0,0,000000000001011000000100000000000000,000000000000100000000000100000010100,29,9471,1,5.028737174981828,8,0.000616149665872036,0.002190210798314041,0.002306510294998181,0.02379931328129399,0.00524575475827603,0.008718066733549528,0.04713054466695913,0.00200177319372385,0.00034275259140463706,6.617814296346434e-05,0.0015915453920918713,0.0,0.0,0.0,0.0,0.6113549595791908,0.00793833378121462,0.00014950083884485632,8.35145611001499e-05,0.0159167743688069,0.02258465545981543,0.0,0.05774699242987517,0.07846733058167259,0.0,0.0030346518032205137,2.2196534626870337e-05,0.00031827219158697646,0.0017966990649193638,0.006547073160131012,0.017395929232625392,0.0,0.07402857275380513,0.0,0.00812367704495229,0.0004820670941652252,15
1,1,000000000000100000000000100000010100,000000000001011000000100000001000000,5,5049,3,1.2404427102943993,9,0.001135166952308038,0.005808295467496528,0.040326460368248634,0.010006684919489165,0.03609757004542396,0.2892561329211019,0.005013541254651885,0.0003218038777371774,0.002268994827442605,0.00035518370663031916,0.0034408170631396798,0.0,0.0,0.0,0.0,0.1857377842297132,0.008379766002644893,0.0033563308193112645,0.00018113697009408444,0.0014860096280556628,0.11640532020243441,0.0,0.022248427213166198,0.05776226305202765,0.0,0.009809347473168438,0.0016952118240410076,0.0015102118582716322,0.0023804099251951375,0.0,0.015164977571185123,0.0,0.1728094132736739,0.0,0.0028845667533168506,0.004158171800030728,5
